age,state,n
32,AR,332
32,FL,2201
32,GA,1253
32,LA,538
32,MS,292
32,NC,1163
32,SC,529
32,TX,3477
32,KY,536
32,MD,697
32,OK,421
32,TN,789
32,WV,192
32,AZ,790
32,CO,791
32,ID,197
32,MT,132
32,NV,374
32,NM,235
32,UT,411
32,WY,68
32,CA,4945
32,OR,524
32,WA,1036
32,AK,91
32,HI,156
33,CT,380
33,ME,142
33,MA,893
33,NH,150
33,RI,104
33,VT,74
33,DE,90
33,NJ,1059
33,NY,2634
33,PA,1506
33,IL,1593
33,IN,758
33,MI,1138
33,OH,1353
33,WI,670
33,IA,408
33,KS,339
33,MN,681
33,MO,710
33,NE,225
33,ND,89
33,SD,104
33,VA,1062
33,AL,506
33,AR,350
33,FL,2235
33,GA,1228
33,LA,556
33,MS,311
33,NC,1152
33,SC,530
33,TX,3485
33,KY,511
33,MD,716
33,OK,486
33,TN,779
33,WV,196
33,AZ,788
33,CO,837
33,ID,168
33,MT,96
33,NV,348
33,NM,256
33,UT,418
33,WY,65
33,CA,5161
33,OR,550
33,WA,1067
33,AK,112
33,HI,171
34,CT,409
34,ME,145
34,MA,870
34,NH,135
34,RI,135
34,VT,61
34,DE,90
34,NJ,1021
34,NY,2487
34,PA,1402
34,IL,1568
34,IN,733
34,MI,1082
34,OH,1449
34,WI,683
34,IA,319
34,KS,368
34,MN,657
34,MO,732
34,NE,225
34,ND,116
34,SD,94
34,VA,1047
34,AL,499
34,AR,329
34,FL,2307
34,GA,1191
34,LA,540
34,MS,317
34,NC,1182
34,SC,566
34,TX,3457
34,KY,520
34,MD,769
34,OK,455
34,TN,738
34,WV,191
34,AZ,824
34,CO,781
34,ID,204
34,MT,91
34,NV,367
34,NM,207
34,UT,407
34,WY,61
34,CA,5062
34,OR,589
34,WA,1011
34,AK,89
34,HI,175
35,CT,391
35,ME,176
35,MA,825
35,NH,150
35,RI,103
35,VT,71
35,DE,105
35,NJ,1066
35,NY,2348
35,PA,1383
35,IL,1546
35,IN,769
35,MI,1073
35,OH,1229
35,WI,642
35,IA,396
35,KS,342
35,MN,672
35,MO,699
35,NE,235
35,ND,108
35,SD,95
35,VA,998
35,AL,490
35,AR,323
35,FL,2245
35,GA,1220
35,LA,553
35,MS,339
35,NC,1219
35,SC,546
35,TX,3427
35,KY,507
35,MD,741
35,OK,463
35,TN,757
35,WV,156
35,AZ,819
35,CO,823
35,ID,189
35,MT,130
35,NV,329
35,NM,228
35,UT,396
35,WY,70
35,CA,5007
35,OR,558
35,WA,1042
35,AK,94
35,HI,166
36,CT,397
36,ME,131
36,MA,887
36,NH,127
36,RI,147
36,VT,88
36,DE,92
36,NJ,1056
36,NY,2415
36,PA,1438
36,IL,1652
36,IN,803
36,MI,1050
36,OH,1309
36,WI,718
36,IA,402
36,KS,327
36,MN,668
36,MO,710
36,NE,206
36,ND,95
36,SD,120
36,VA,1100
36,AL,518
36,AR,349
36,FL,2395
36,GA,1262
36,LA,572
36,MS,342
36,NC,1202
36,SC,580
36,TX,3568
36,KY,591
36,MD,810
36,OK,460
36,TN,834
36,WV,185
36,AZ,841
36,CO,805
36,ID,175
36,MT,109
36,NV,381
36,NM,216
36,UT,400
36,WY,68
36,CA,5319
36,OR,548
36,WA,1046
36,AK,105
36,HI,200
37,CT,427
37,ME,134
37,MA,782
37,NH,146
37,RI,134
37,VT,69
37,DE,105
37,NJ,1091
37,NY,2403
37,PA,1437
37,IL,1534
37,IN,778
37,MI,1085
37,OH,1423
37,WI,680
37,IA,385
37,KS,357
37,MN,692
37,MO,759
37,NE,256
37,ND,106
37,SD,100
37,VA,1060
37,AL,509
37,AR,339
37,FL,2218
37,GA,1219
37,LA,546
37,MS,335
37,NC,1165
37,SC,530
37,TX,3477
37,KY,483
37,MD,750
37,OK,461
37,TN,817
37,WV,173
37,AZ,852
37,CO,743
37,ID,199
37,MT,117
37,NV,364
37,NM,232
37,UT,402
37,WY,54
37,CA,5040
37,OR,566
37,WA,976
37,AK,76
37,HI,188
38,CT,389
38,ME,128
38,MA,782
38,NH,150
38,RI,128
38,VT,70
38,DE,94
38,NJ,1068
38,NY,2292
38,PA,1375
38,IL,1604
38,IN,780
38,MI,1112
38,OH,1385
38,WI,709
38,IA,402
38,KS,306
38,MN,648
38,MO,716
38,NE,238
38,ND,99
38,SD,95
38,VA,1051
38,AL,498
38,AR,383
38,FL,2234
38,GA,1219
38,LA,527
38,MS,356
38,NC,1192
38,SC,565
38,TX,3417
38,KY,529
38,MD,751
38,OK,418
38,TN,801
38,WV,207
38,AZ,775
38,CO,795
38,ID,209
38,MT,118
38,NV,348
38,NM,221
38,UT,424
38,WY,80
38,CA,4879
38,OR,567
38,WA,1018
38,AK,79
38,HI,184
39,CT,388
39,ME,146
39,MA,757
39,NH,132
39,RI,125
39,VT,63
39,DE,92
39,NJ,1073
39,NY,2330
39,PA,1483
39,IL,1503
39,IN,839
39,MI,1082
39,OH,1437
39,WI,699
39,IA,353
39,KS,324
39,MN,708
39,MO,790
39,NE,225
39,ND,69
39,SD,107
39,VA,1075
39,AL,527
39,AR,348
39,FL,2185
39,GA,1224
39,LA,549
39,MS,355
39,NC,1118
39,SC,550
39,TX,3483
39,KY,526
39,MD,758
39,OK,487
39,TN,747
39,WV,172
39,AZ,784
39,CO,735
39,ID,208
39,MT,95
39,NV,409
39,NM,217
39,UT,442
39,WY,85
39,CA,4910
39,OR,521
